id,host_id,host_name,host_response_time,host_is_superhost,neighbourhood,latitude,longitude,room_type,price,security_deposit,cleaning_fee,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
12041,21994,Aaron,within a few hours,f,Haight Ashbury,37.77019,-122.44594,Private room,$85.00 ,$200.00 ,$50.00 ,6,80,9,8,9,10,9,7
12042,21994,Aaron,within a few hours,f,Haight Ashbury,37.76894,-122.44778,Private room,$85.00 ,$200.00 ,$50.00 ,5,64,6,6,10,9,9,8
12522,18431,Brenda,within an hour,t,Castro/Upper Market,37.76075,-122.43032,Private room,$79.00 ,,$10.00 ,398,98,10,10,10,10,10,10
12584,49383,Tom,within a few hours,t,Inner Sunset,37.76203,-122.45455,Entire home/apt,$166.00 ,$899.00 ,$279.00 ,16,95,9,9,9,9,9,9
14125,55475,Olivia,within a day,f,Mission,37.75491,-122.42246,Entire home/apt,$215.00 ,,$80.00 ,108,97,10,9,10,10,10,9
17132,43185,Hijin + David,within a day,f,South of Market,37.78647,-122.39072,Entire home/apt,$450.00 ,"$5,000.00 ",$250.00 ,14,96,10,10,10,10,10,9
18231,70224,Arlene & Leon,N/A,t,Noe Valley,37.74888,-122.42982,Entire home/apt,$107.00 ,,,61,96,10,10,10,10,10,10
18904,72464,Patrick,within a few hours,t,Western Addition,37.77252,-122.43216,Private room,$110.00 ,$130.00 ,$30.00 ,373,97,10,10,10,10,10,10
21334,81455,Joe,within an hour,t,Nob Hill,37.7958,-122.41533,Entire home/apt,$125.00 ,$500.00 ,$100.00 ,119,98,10,10,10,10,10,10
21914,21994,Aaron,within a few hours,f,Haight Ashbury,37.7648,-122.45251,Private room,$65.00 ,$200.00 ,$50.00 ,14,78,8,8,10,10,10,7
23611,18732,Cecilia,within an hour,t,Bernal Heights,37.74556,-122.41207,Private room,$100.00 ,$500.00 ,$30.00 ,241,98,10,10,10,10,10,10
23630,93257,Daniel,within an hour,t,Castro/Upper Market,37.75963,-122.44143,Entire home/apt,$155.00 ,$200.00 ,,366,97,10,10,10,10,10,10
24450,99058,Judith,within an hour,t,Noe Valley,37.74885,-122.43673,Entire home/apt,$180.00 ,$250.00 ,$80.00 ,229,92,10,9,10,10,10,9
24463,99128,Cathryn,within an hour,t,Potrero Hill,37.75645,-122.3991,Private room,$155.00 ,$500.00 ,$80.00 ,278,97,10,10,10,10,10,9
24685,100567,Alison,within a few hours,t,Haight Ashbury,37.77162,-122.43836,Private room,$79.00 ,,,192,96,10,10,10,10,10,10
24723,100800,Cynthia,within an hour,t,Western Addition,37.78716,-122.43386,Entire home/apt,$195.00 ,$0.00 ,$20.00 ,291,96,10,10,10,10,10,10
25094,103339,Bruce,within a few hours,t,Noe Valley,37.74188,-122.43122,Private room,$150.00 ,,$25.00 ,29,99,10,10,10,10,10,10
25463,72464,Patrick,within a few hours,t,Western Addition,37.77729,-122.43421,Private room,$110.00 ,$150.00 ,$30.00 ,409,98,10,10,10,10,10,10
25662,106005,Gayle,within a few hours,t,Potrero Hill,37.76212,-122.39541,Private room,$125.00 ,$300.00 ,$50.00 ,300,95,10,10,10,10,10,10
25927,109045,Ronda,within an hour,t,Western Addition,37.78895,-122.43031,Private room,$110.00 ,$500.00 ,$40.00 ,78,92,10,9,10,10,10,9
26408,111141,Isabella,within an hour,f,Western Addition,37.77478,-122.4315,Entire home/apt,$450.00 ,$500.00 ,$160.00 ,32,90,9,8,9,9,9,9
27025,115673,Luis,N/A,f,Castro/Upper Market,37.76298,-122.43136,Entire home/apt,$150.00 ,"$3,800.00 ",$125.00 ,129,100,10,10,10,10,10,10
27028,7149,Ivan & Wendy,within an hour,t,Mission,37.76098,-122.42158,Private room,$199.00 ,$0.00 ,$75.00 ,25,96,10,10,10,10,10,9
29373,126263,Cecilia,within an hour,t,Bernal Heights,37.73729,-122.41163,Entire home/apt,$220.00 ,$100.00 ,$140.00 ,13,97,10,10,10,10,9,10
29557,126036,Gigi,within a few hours,f,Outer Richmond,37.77931,-122.50518,Entire home/apt,$155.00 ,,,44,99,10,10,10,10,10,10
32414,140251,Lisa,N/A,f,Bernal Heights,37.74025,-122.41259,Entire home/apt,$150.00 ,$200.00 ,$0.00 ,93,96,10,10,10,10,9,9
39174,127367,Annette,within a few hours,f,Noe Valley,37.7483,-122.42488,Entire home/apt,$107.00 ,,$155.00 ,20,96,9,10,10,10,10,9
39418,169184,Therese And Nelson,within a day,f,Bernal Heights,37.74093,-122.42055,Entire home/apt,$94.00 ,$500.00 ,$65.00 ,21,98,10,10,10,10,10,9
40092,172182,Brian & Leah,within an hour,t,Mission,37.76016,-122.41969,Entire home/apt,$108.00 ,$200.00 ,$50.00 ,97,92,10,10,10,10,9,9
40138,172306,Ay,within a few hours,f,Presidio Heights,37.78255,-122.44844,Private room,$83.00 ,,$35.00 ,136,96,10,9,10,10,10,9
41055,178043,Chas,within a day,f,Castro/Upper Market,37.76125,-122.43335,Entire home/apt,$159.00 ,$150.00 ,$120.00 ,47,93,10,9,10,10,10,10
41172,53314,Sue,within a few hours,t,Bernal Heights,37.74083,-122.41763,Private room,$125.00 ,$0.00 ,$50.00 ,234,98,10,10,10,10,10,10
41423,180715,Dana,within a day,f,Glen Park,37.73557,-122.43302,Entire home/apt,$136.00 ,,,147,89,9,8,9,9,9,9
41609,54299,Peter,N/A,f,Nob Hill,37.79001,-122.41292,Entire home/apt,$170.00 ,$500.00 ,$0.00 ,13,98,10,10,10,10,10,10
42403,127367,Annette,within a few hours,f,Bernal Heights,37.73356,-122.41851,Entire home/apt,$85.00 ,$0.00 ,$155.00 ,6,93,10,10,10,10,10,10
42408,127367,Annette,within a few hours,f,Bernal Heights,37.73404,-122.41781,Entire home/apt,$85.00 ,,$155.00 ,4,87,9,8,10,10,8,7
42577,127367,Annette,within a few hours,f,Potrero Hill,37.75447,-122.38813,Entire home/apt,$150.00 ,$0.00 ,$205.00 ,2,80,5,8,10,8,7,8
43778,127367,Annette,within a few hours,f,Haight Ashbury,37.77272,-122.44084,Entire home/apt,$120.00 ,,$205.00 ,8,56,8,7,8,7,7,7
44680,196626,Paul,within a few hours,f,Mission,37.75121,-122.42165,Entire home/apt,$175.00 ,"$1,000.00 ",$120.00 ,3,100,,,,,,
45299,178043,Chas,within a day,f,Castro/Upper Market,37.76068,-122.43331,Entire home/apt,$116.00 ,$100.00 ,,128,94,10,9,10,10,10,9
45956,202591,Jose  Jeffrey,within an hour,t,Western Addition,37.77248,-122.43016,Private room,$125.00 ,$0.00 ,$30.00 ,112,96,10,10,10,10,10,10
47486,215133,Richard,within a day,t,Ocean View,37.72536,-122.46861,Entire home/apt,$78.00 ,$400.00 ,$100.00 ,29,97,10,10,10,10,9,10
47682,216682,Jay,within an hour,t,Pacific Heights,37.7925,-122.42431,Entire home/apt,$120.00 ,$500.00 ,$160.00 ,26,96,10,9,10,10,10,10
48471,170764,JayBee,N/A,f,Mission,37.75542,-122.40703,Private room,$76.00 ,$800.00 ,$0.00 ,29,94,10,10,10,10,9,9
51073,234859,Michelle,N/A,f,South of Market,37.77116,-122.42199,Private room,$160.00 ,$150.00 ,$30.00 ,151,99,10,10,10,10,10,10
51557,237200,Len,within an hour,t,Western Addition,37.77121,-122.42834,Entire home/apt,$119.00 ,$100.00 ,$175.00 ,106,98,10,10,10,10,10,10
51773,216682,Jay,within an hour,t,Pacific Heights,37.79312,-122.426,Private room,$55.00 ,$0.00 ,$50.00 ,161,92,10,9,10,10,10,9
52713,244235,Michael,within a few hours,f,Nob Hill,37.79667,-122.41272,Private room,$99.00 ,,$15.00 ,166,89,9,9,9,9,9,9
53280,126263,Cecilia,within an hour,t,Bernal Heights,37.73878,-122.41189,Private room,$90.00 ,$100.00 ,$60.00 ,133,98,10,10,10,10,10,10
54518,255971,Kathy,N/A,f,Financial District,37.7933,-122.40079,Entire home/apt,$210.00 ,$500.00 ,$120.00 ,17,89,10,9,9,10,10,10
54634,216682,Jay,within an hour,t,Pacific Heights,37.79166,-122.4265,Entire home/apt,$115.00 ,$500.00 ,$160.00 ,38,93,9,9,10,10,10,9
55632,262875,Paul & Debbie,within a few hours,t,Outer Richmond,37.77959,-122.48619,Entire home/apt,$116.00 ,"$1,000.00 ",$200.00 ,10,94,10,10,10,10,9,10
55636,262875,Paul & Debbie,within a few hours,t,Twin Peaks,37.74889,-122.44479,Entire home/apt,$116.00 ,"$3,000.00 ",$200.00 ,27,95,10,10,10,10,9,9
56621,216682,Jay,within an hour,t,Pacific Heights,37.79216,-122.42458,Private room,$55.00 ,$0.00 ,$70.00 ,122,93,10,9,10,10,10,9
57561,272890,Theodore,within a day,f,Bernal Heights,37.7472,-122.41443,Entire home/apt,$175.00 ,,,213,92,10,9,10,9,9,9
57676,142882,Jessica And Sebouh,within an hour,f,Mission,37.75762,-122.41933,Private room,$99.00 ,$300.00 ,$100.00 ,113,94,9,9,10,9,10,9
58185,278102,Brooke,within a few hours,f,Inner Sunset,37.75504,-122.45871,Entire home/apt,$350.00 ,$0.00 ,$125.00 ,1,80,10,8,10,8,10,8
59344,284917,John,within an hour,t,Noe Valley,37.74565,-122.42864,Entire home/apt,$135.00 ,$100.00 ,$75.00 ,313,98,10,10,10,10,10,10
59381,285168,Bill,within a few hours,f,Russian Hill,37.8031,-122.41596,Private room,$109.00 ,$0.00 ,$40.00 ,225,96,10,10,10,10,10,9
59702,287136,Toby,within an hour,t,Bernal Heights,37.74209,-122.41409,Private room,$150.00 ,,$80.00 ,187,98,10,10,10,10,10,10
59831,287859,Lawrence,N/A,f,Outer Sunset,37.75674,-122.49178,Private room,$100.00 ,,$200.00 ,1,20,,,,2,,
62519,304426,Abhay,within an hour,t,Glen Park,37.74183,-122.42993,Private room,$85.00 ,,$45.00 ,36,97,10,10,10,10,10,10
62651,185923,Agnieszka,within a day,f,Mission,37.76245,-122.42432,Entire home/apt,"$1,100.00 ","$2,000.00 ",$150.00 ,54,95,10,10,10,10,10,9
63247,290120,Anne,within an hour,t,Mission,37.74926,-122.41398,Entire home/apt,$166.00 ,$145.00 ,$65.00 ,340,94,10,10,10,10,10,9
63405,142882,Jessica And Sebouh,within an hour,f,Mission,37.754,-122.41771,Entire home/apt,$125.00 ,$300.00 ,$125.00 ,216,93,9,9,10,10,10,9
64165,237691,Regina,within an hour,t,Marina,37.80317,-122.42874,Private room,$90.00 ,$350.00 ,$75.00 ,66,99,10,10,10,10,10,9
66119,52862,Joe,within a few hours,f,Inner Richmond,37.77798,-122.47812,Entire home/apt,$95.00 ,$500.00 ,$75.00 ,97,83,9,9,10,9,9,8
66188,127367,Annette,within a few hours,f,Outer Richmond,37.77719,-122.50906,Entire home/apt,$216.00 ,,$205.00 ,12,96,9,10,10,10,9,9
68239,337833,Philipp,within an hour,t,Mission,37.75426,-122.42387,Entire home/apt,$326.00 ,$350.00 ,$180.00 ,35,99,10,10,10,10,10,9
69410,347624,Patrick,within an hour,t,Inner Richmond,37.77442,-122.46319,Entire home/apt,$80.00 ,,$100.00 ,52,98,10,10,10,10,10,9
69549,305973,Maria,within an hour,f,Excelsior,37.73027,-122.42644,Private room,$46.00 ,$150.00 ,$50.00 ,39,91,9,9,10,9,9,9
69553,305973,Maria,within an hour,f,Excelsior,37.73128,-122.42478,Private room,$45.00 ,$150.00 ,$35.00 ,26,82,8,8,8,9,8,8
69681,127367,Annette,within a few hours,f,Seacliff,37.77707,-122.50923,Entire home/apt,$185.00 ,$0.00 ,$255.00 ,7,93,9,8,9,9,9,8
70139,354456,Rachel,within a day,f,Bernal Heights,37.74527,-122.42424,Entire home/apt,$108.00 ,$500.00 ,,10,98,10,10,10,10,10,10
70284,329072,Darren & Friends,within an hour,f,Chinatown,37.79364,-122.40635,Shared room,$30.00 ,$300.00 ,,13,92,9,9,9,9,9,10
70753,329072,Darren & Friends,within an hour,f,Financial District,37.79447,-122.4045,Shared room,$45.00 ,$0.00 ,$0.00 ,368,92,10,9,10,10,10,10
71645,367464,Jeff,within an hour,t,Bernal Heights,37.74578,-122.40841,Private room,$109.00 ,,$60.00 ,121,98,10,10,10,10,10,10
71779,368770,Fukuko,within a few hours,f,Inner Richmond,37.77625,-122.46466,Entire home/apt,$80.00 ,,$100.00 ,2,60,9,8,10,10,8,8
72365,374909,Eric,within a day,f,Western Addition,37.77518,-122.43334,Entire home/apt,$100.00 ,$500.00 ,$100.00 ,96,92,8,8,10,9,10,9
72444,329072,Darren & Friends,within an hour,f,Financial District,37.79309,-122.40443,Shared room,$45.00 ,$0.00 ,$0.00 ,367,94,9,9,10,10,10,9
72921,374909,Eric,within a day,f,Western Addition,37.77588,-122.43143,Entire home/apt,$95.00 ,$400.00 ,$0.00 ,52,89,9,9,10,9,10,9
73011,380056,Jason,within a few hours,f,South of Market,37.77026,-122.41855,Entire home/apt,$270.00 ,$500.00 ,$120.00 ,30,99,10,10,10,10,8,9
74451,374909,Eric,within a day,f,Western Addition,37.77388,-122.43298,Entire home/apt,$120.00 ,$400.00 ,$100.00 ,18,97,9,9,10,10,10,9
74758,305973,Maria,within an hour,f,Excelsior,37.73137,-122.42532,Private room,$45.00 ,$150.00 ,$35.00 ,34,86,9,8,9,9,8,9
75422,305973,Maria,within an hour,f,Excelsior,37.73128,-122.42473,Private room,$40.00 ,$150.00 ,$35.00 ,9,100,9,9,10,10,9,9
75423,305973,Maria,within an hour,f,Excelsior,37.73048,-122.42494,Private room,$45.00 ,$150.00 ,$40.00 ,34,90,9,8,9,10,8,9
77175,395569,Tyler&Shoreh,within an hour,t,Glen Park,37.73838,-122.43375,Entire home/apt,$135.00 ,,$50.00 ,366,98,10,10,10,10,10,10
77932,305973,Maria,within an hour,f,Excelsior,37.73134,-122.42457,Private room,$57.00 ,$150.00 ,$50.00 ,21,81,7,8,9,8,8,8
78651,142882,Jessica And Sebouh,within an hour,f,Mission,37.75615,-122.41927,Private room,$75.00 ,$300.00 ,$100.00 ,84,95,9,9,10,10,10,10
80394,126930,Abla,within an hour,f,Haight Ashbury,37.77065,-122.44252,Entire home/apt,$140.00 ,$500.00 ,$125.00 ,13,98,10,10,9,9,9,10
81158,439589,Brent,within an hour,t,Western Addition,37.78493,-122.44618,Entire home/apt,$83.00 ,$200.00 ,$150.00 ,14,93,10,9,10,10,10,9
81256,305973,Maria,within an hour,f,Excelsior,37.73152,-122.42547,Private room,$45.00 ,$150.00 ,$35.00 ,20,78,8,7,8,9,7,8
81535,442443,John,within a day,f,Downtown/Civic Center,37.78025,-122.4131,Entire home/apt,$250.00 ,$500.00 ,$75.00 ,14,97,10,10,10,10,8,9
82919,451471,Rita,within an hour,f,Bernal Heights,37.7343,-122.42092,Private room,$97.00 ,$100.00 ,$25.00 ,384,91,10,9,10,10,9,9
83257,453743,Kimberly,within a few hours,t,Western Addition,37.78528,-122.44358,Private room,$90.00 ,$300.00 ,$55.00 ,85,97,10,10,10,10,9,10
83553,127367,Annette,within a few hours,f,Outer Richmond,37.77483,-122.50952,Entire home/apt,$85.00 ,,$155.00 ,7,96,10,9,9,9,9,9
84777,463637,John,within an hour,t,Castro/Upper Market,37.75969,-122.44445,Entire home/apt,$85.00 ,$200.00 ,$60.00 ,234,95,10,10,10,10,10,10
87640,479857,Karin,within a few hours,t,Noe Valley,37.7455,-122.42898,Private room,$115.00 ,$0.00 ,$30.00 ,344,99,10,10,10,10,10,10
91957,495796,Joy,within a day,f,Haight Ashbury,37.76194,-122.44929,Entire home/apt,$201.00 ,$300.00 ,$150.00 ,95,95,9,9,10,10,10,9
96383,216682,Jay,within an hour,t,Pacific Heights,37.79176,-122.42476,Private room,$59.00 ,,$70.00 ,131,94,10,9,10,10,10,9
99094,522225,Marzio,within a few hours,f,Mission,37.76809,-122.42439,Entire home/apt,$185.00 ,$300.00 ,$100.00 ,20,98,10,10,9,10,10,10
100710,528857,Jonathan,within a day,f,Mission,37.75629,-122.42518,Entire home/apt,$450.00 ,,,10,100,10,10,10,10,10,10
102951,329072,Darren & Friends,within an hour,f,Chinatown,37.79297,-122.40664,Shared room,$30.00 ,$300.00 ,,6,97,10,9,10,9,8,10
105497,547669,Jamie,within an hour,f,Outer Sunset,37.75754,-122.49852,Private room,$85.00 ,$500.00 ,$85.00 ,3,100,10,10,10,10,9,10
106025,359813,Annette,within a few hours,t,Downtown/Civic Center,37.78535,-122.41515,Entire home/apt,$145.00 ,$150.00 ,$150.00 ,60,99,10,10,10,10,8,10
109883,566147,Adam,within an hour,t,West of Twin Peaks,37.73327,-122.46435,Entire home/apt,$125.00 ,$0.00 ,$50.00 ,335,94,10,10,10,10,10,9
110825,568933,Michael,within an hour,f,Bayview,37.71549,-122.38922,Entire home/apt,$120.00 ,$300.00 ,$150.00 ,8,93,10,9,10,10,9,10
113211,576273,Shelli,within a day,f,Chinatown,37.79294,-122.40659,Shared room,$30.00 ,$300.00 ,,14,95,9,8,10,10,10,9
114401,580606,George,within an hour,t,Castro/Upper Market,37.76102,-122.43005,Private room,$125.00 ,$0.00 ,$0.00 ,530,97,10,10,10,10,10,10
115242,582450,Dawn,within a few hours,t,North Beach,37.80591,-122.4083,Entire home/apt,$125.00 ,"$1,000.00 ",$135.00 ,8,97,10,10,10,10,10,9
121065,608445,Hassan,within an hour,f,Western Addition,37.77083,-122.43109,Entire home/apt,$200.00 ,$200.00 ,$150.00 ,36,99,10,10,10,10,10,9
126046,625762,Ryan And Lindsea,within a day,f,Haight Ashbury,37.76813,-122.44494,Entire home/apt,$150.00 ,$550.00 ,$125.00 ,81,97,10,10,10,10,10,9
128230,634277,Maria,within a few hours,t,Castro/Upper Market,37.75887,-122.43565,Entire home/apt,$328.00 ,$700.00 ,$120.00 ,141,99,10,10,10,10,10,10
130775,21994,Aaron,within a few hours,f,Haight Ashbury,37.76609,-122.45126,Private room,$65.00 ,$200.00 ,$50.00 ,10,86,8,7,10,9,10,8
130805,643713,Sue,within a few hours,t,Mission,37.75586,-122.42092,Entire home/apt,$97.00 ,,$100.00 ,85,98,10,10,10,10,10,10
132441,650862,Kurt,within an hour,t,Bernal Heights,37.73974,-122.42299,Private room,$69.00 ,,$45.00 ,109,95,10,10,10,10,10,10
134015,657837,Heidi,within a few hours,f,Marina,37.80356,-122.42589,Entire home/apt,$275.00 ,$500.00 ,$130.00 ,69,97,9,9,10,10,10,9
134193,658666,Terry,within an hour,f,Inner Richmond,37.7806,-122.47597,Entire home/apt,$550.00 ,"$1,000.00 ",$200.00 ,18,94,10,9,9,10,9,9
137129,639671,Mark,within a few hours,f,Inner Richmond,37.7879,-122.46474,Entire home/apt,$850.00 ,"$2,000.00 ",$0.00 ,0,,,,,,,
137546,672097,Christopher Scott,within an hour,t,Bernal Heights,37.74708,-122.42456,Private room,$102.00 ,$200.00 ,$70.00 ,223,97,10,10,10,10,10,10
138592,648553,Julie & Brad,within a day,t,Mission,37.75558,-122.42474,Entire home/apt,"$1,200.00 ","$2,000.00 ",$250.00 ,26,98,10,10,10,10,10,9
138619,644896,Matthew,within an hour,f,North Beach,37.79835,-122.4042,Entire home/apt,$150.00 ,$500.00 ,$100.00 ,66,93,10,9,10,10,10,10
138772,261304,Claire,within a few hours,f,Castro/Upper Market,37.75823,-122.43273,Private room,$150.00 ,,$50.00 ,61,99,10,10,10,10,10,10
140568,684131,Mary,within an hour,t,Bernal Heights,37.73874,-122.41624,Private room,$90.00 ,$300.00 ,$35.00 ,150,97,10,10,10,10,9,10
142177,656263,Noreen,within a few hours,t,Outer Richmond,37.78471,-122.48125,Entire home/apt,$399.00 ,$250.00 ,$150.00 ,182,98,10,10,10,10,10,10
144043,698337,Emily,within an hour,f,Bernal Heights,37.74547,-122.40726,Private room,$85.00 ,$100.00 ,$25.00 ,146,93,10,9,10,10,9,9
144978,216682,Jay,within an hour,t,Pacific Heights,37.79336,-122.42506,Private room,$56.00 ,$0.00 ,$70.00 ,117,93,10,9,10,10,10,9
147443,709325,Mark,within an hour,f,Diamond Heights,37.74599,-122.44532,Entire home/apt,$230.00 ,$200.00 ,$195.00 ,108,92,10,9,10,10,9,9
148559,717236,Steven,N/A,f,Castro/Upper Market,37.76787,-122.43172,Entire home/apt,$275.00 ,$500.00 ,$150.00 ,19,99,10,9,10,10,10,10
148769,709325,Mark,within an hour,f,Twin Peaks,37.75195,-122.44928,Entire home/apt,$115.00 ,$200.00 ,$75.00 ,90,82,8,8,9,9,9,8
150053,723220,Helena,within an hour,f,South of Market,37.7876,-122.39222,Entire home/apt,$600.00 ,"$5,000.00 ",$200.00 ,13,100,10,10,10,10,10,9
150347,172182,Brian & Leah,within an hour,t,Mission,37.76202,-122.41876,Entire home/apt,$179.00 ,$200.00 ,$100.00 ,117,94,9,9,10,9,9,9
150848,726513,Nancy,within an hour,t,Potrero Hill,37.762,-122.39391,Private room,$75.00 ,$200.00 ,$30.00 ,215,99,10,10,10,10,10,10
162934,778281,Noelle,within an hour,t,Outer Richmond,37.77761,-122.50378,Entire home/apt,$149.00 ,,$90.00 ,220,95,10,10,10,10,10,10
164207,783438,Phil,within a few hours,t,West of Twin Peaks,37.74159,-122.46578,Private room,$69.00 ,$250.00 ,$35.00 ,339,97,10,10,10,10,10,10
166199,792371,Matt,N/A,f,Castro/Upper Market,37.76194,-122.43239,Entire home/apt,$220.00 ,$800.00 ,$80.00 ,158,96,10,10,10,9,10,9
166771,794467,Patti,within an hour,f,Haight Ashbury,37.76827,-122.44678,Entire home/apt,$185.00 ,"$1,000.00 ",$250.00 ,152,97,10,10,10,10,10,10
174679,834580,Christopher,within an hour,t,Mission,37.75452,-122.40716,Private room,$80.00 ,$150.00 ,$80.00 ,23,97,10,9,10,10,10,10
175090,127367,Annette,within a few hours,f,Financial District,37.79018,-122.40475,Entire home/apt,$110.00 ,,$155.00 ,24,87,9,9,9,10,10,9
175102,127367,Annette,within a few hours,f,Financial District,37.79076,-122.40403,Entire home/apt,$135.00 ,,$155.00 ,49,94,10,10,9,10,9,9
176274,305973,Maria,within an hour,f,Excelsior,37.73143,-122.42325,Private room,$45.00 ,$150.00 ,$30.00 ,10,80,9,7,8,10,8,7
177137,817292,Rick,within a day,t,Chinatown,37.79675,-122.40781,Entire home/apt,$135.00 ,,$75.00 ,62,97,10,10,10,10,9,10
179876,170764,JayBee,N/A,f,Mission,37.75606,-122.4089,Private room,$92.00 ,$800.00 ,,18,95,10,10,10,10,9,8
181407,811283,Veronica,within an hour,t,Glen Park,37.73723,-122.43139,Entire home/apt,$155.00 ,$200.00 ,$69.00 ,38,99,10,10,10,10,10,10
183334,18732,Cecilia,within an hour,t,Bernal Heights,37.74531,-122.41122,Entire home/apt,$225.00 ,$500.00 ,$100.00 ,6,100,10,10,10,10,10,10
183859,882283,Stephen,within an hour,t,Glen Park,37.73626,-122.43677,Entire home/apt,$220.00 ,$500.00 ,$90.00 ,221,97,10,10,10,10,10,10
187730,142882,Jessica And Sebouh,within an hour,f,Mission,37.75757,-122.41939,Private room,$75.00 ,$300.00 ,$85.00 ,120,96,10,9,10,10,10,9
189068,684131,Mary,within an hour,t,Bernal Heights,37.73856,-122.41687,Private room,$90.00 ,$300.00 ,$35.00 ,167,98,10,10,10,10,10,10
189894,916362,Jacqueline,within a few hours,t,Marina,37.80318,-122.42977,Entire home/apt,$150.00 ,$200.00 ,$90.00 ,36,97,10,10,10,10,10,10
191632,583207,Maria,within an hour,t,Haight Ashbury,37.77311,-122.44979,Entire home/apt,$138.00 ,$200.00 ,$43.00 ,437,97,10,10,10,10,10,9
199480,974441,Peter,within an hour,t,Bernal Heights,37.74557,-122.41187,Private room,$90.00 ,,$20.00 ,190,99,10,10,10,10,10,10
201313,984585,Robb,within a few hours,f,North Beach,37.8034,-122.40485,Entire home/apt,$182.00 ,,$225.00 ,2,100,10,10,10,10,10,10
201579,986510,Eric,within an hour,f,Western Addition,37.77756,-122.43326,Entire home/apt,$136.00 ,"$1,000.00 ",$99.00 ,213,97,10,10,10,10,10,10
206566,329072,Darren & Friends,within an hour,f,Chinatown,37.79507,-122.40498,Shared room,$30.00 ,$300.00 ,,9,100,10,9,10,10,10,10
206634,329072,Darren & Friends,within an hour,f,Chinatown,37.79466,-122.40523,Shared room,$30.00 ,$300.00 ,,6,97,8,9,9,10,10,10
206637,329072,Darren & Friends,within an hour,f,Chinatown,37.79291,-122.40637,Shared room,$30.00 ,$300.00 ,,3,80,8,8,10,9,10,8
207980,1023546,Bruce,within an hour,t,Noe Valley,37.74446,-122.43776,Entire home/apt,$295.00 ,$300.00 ,$132.00 ,355,96,10,10,10,10,10,9
208727,519598,Robert,within an hour,t,Outer Richmond,37.78265,-122.48971,Private room,$85.00 ,$250.00 ,$85.00 ,28,96,10,9,10,10,9,9
208831,1028577,Peter,within an hour,t,Russian Hill,37.80242,-122.4144,Entire home/apt,$165.00 ,$200.00 ,$60.00 ,446,96,10,9,10,10,10,9
209514,1032643,Josh,within an hour,f,Haight Ashbury,37.77118,-122.44963,Private room,$92.00 ,$200.00 ,$30.00 ,420,93,10,10,10,10,10,9
212265,1094844,Cynthia & Donald,within an hour,f,Mission,37.75551,-122.40882,Entire home/apt,$178.00 ,"$2,000.00 ",$250.00 ,11,100,10,10,10,10,10,10
212783,1032643,Josh,within an hour,f,Haight Ashbury,37.77108,-122.44942,Private room,$98.00 ,$200.00 ,$30.00 ,396,90,9,9,10,10,10,9
213532,1032643,Josh,within an hour,f,Haight Ashbury,37.77085,-122.44811,Private room,$78.00 ,$200.00 ,$30.00 ,440,90,10,10,10,10,10,9
